Year,Make,Model,Price,Mileage,URL
2013,Jeep,grand,9000,130000,https://www.facebook.com/marketplace/item/1003379918168678/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951094894268%22%2C%22mf_story_key%22%3A%2224748399314804284%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24748399314804284%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A109%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224748399314804284%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2015,Chevrolet,tahoe,11500,168000,https://www.facebook.com/marketplace/item/1194518468556933/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951094894268%22%2C%22mf_story_key%22%3A%228683387521780361%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8683387521780361%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A110%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228683387521780361%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2012,Ford,f59,18000,88000,https://www.facebook.com/marketplace/item/998519478436427/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951094894268%22%2C%22mf_story_key%22%3A%2226086466131001707%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A26086466131001707%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A111%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2226086466131001707%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2002,Chevrolet,s10,800,140000,https://www.facebook.com/marketplace/item/2012507675845935/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951094894268%22%2C%22mf_story_key%22%3A%227808308532618975%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7808308532618975%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A112%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227808308532618975%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2006,Dodge,charger,5000,120000,https://www.facebook.com/marketplace/item/528792076169369/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951094894268%22%2C%22mf_story_key%22%3A%227992620000817758%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7992620000817758%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A113%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227992620000817758%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2020,Ford,fusion,14995,77000,https://www.facebook.com/marketplace/item/8436444503105076/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951094894268%22%2C%22mf_story_key%22%3A%227868960996532442%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7868960996532442%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A114%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227868960996532442%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2013,Ford,c-max,6990,102000,https://www.facebook.com/marketplace/item/864469328443465/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951094894268%22%2C%22mf_story_key%22%3A%228241052432619233%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8241052432619233%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A115%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228241052432619233%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2003,Chevrolet,express,3500,30000,https://www.facebook.com/marketplace/item/1168593877688340/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951094894268%22%2C%22mf_story_key%22%3A%228421741414513061%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8421741414513061%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A116%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228421741414513061%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2014,Ford,e250,17895,54000,https://www.facebook.com/marketplace/item/1031398818506160/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951108945616%22%2C%22mf_story_key%22%3A%2226357851337164080%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A26357851337164080%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A117%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2226357851337164080%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2008,BMW,5,2500,168000,https://www.facebook.com/marketplace/item/832681822348977/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951108945616%22%2C%22mf_story_key%22%3A%227947481985306848%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7947481985306848%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A118%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227947481985306848%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
